labels,syn,bsyn
1003_3x1000_3,0.728506,0.733283
1003_3x1001_3,0.723312,0.744976
1003_3x1002_3,0.691223,0.695669
1003_3x1006_3,0.723709,0.732153
1003_3x1007_3,0.722804,0.739133
1003_3x1008_3,0.722938,0.740452
1003_3x1009_3,0.719374,0.728517
1003_3x1010_3,0.716247,0.733733
1003_3x1011_3,0.72996,0.731328
1003_3x1012_3,0.740701,0.744504
1003_3x1013_3,0.723078,0.726363
1003_3x1014_3,0.715297,0.72877
1003_3x1015_3,0.726783,0.729162
1003_3x1017_3,0.694692,0.720611
1003_3x1036_3,0.699512,0.705538
1004_3x1000_3,0.728507,0.733067
1004_3x1001_3,0.7303,0.739963
1004_3x1002_3,0.717717,0.721034
1004_3x1006_3,0.733456,0.737599
1004_3x1007_3,0.734535,0.738931
1004_3x1008_3,0.728849,0.736209
1004_3x1009_3,0.737784,0.747668
1004_3x1010_3,0.733539,0.73972
1004_3x1011_3,0.714252,0.717162
1004_3x1012_3,0.727366,0.725317
1004_3x1013_3,0.72621,0.737102
1004_3x1014_3,0.709921,0.723004
1004_3x1015_3,0.737179,0.738136
1004_3x1017_3,0.730561,0.730761
1004_3x1036_3,0.711045,0.721902
1005_3x1000_3,0.699938,0.710425
1005_3x1001_3,0.697741,0.700575
1005_3x1002_3,0.684866,0.698213
1005_3x1006_3,0.720362,0.722249
1005_3x1007_3,0.68853,0.699052
1005_3x1008_3,0.701743,0.709347
1005_3x1009_3,0.69812,0.699472
1005_3x1010_3,0.679314,0.692974
1005_3x1011_3,0.701409,0.715029
1005_3x1012_3,0.699667,0.700379
1005_3x1013_3,0.711951,0.719866
1005_3x1014_3,0.708633,0.707736
1005_3x1015_3,0.684708,0.701534
1005_3x1017_3,0.680743,0.693689
1005_3x1036_3,0.706426,0.718875
1018_3x1000_3,0.750227,0.752611
1018_3x1001_3,0.746942,0.748
1018_3x1002_3,0.713921,0.723895
1018_3x1006_3,0.742983,0.743604
1018_3x1007_3,0.746942,0.747231
1018_3x1008_3,0.736718,0.741312
1018_3x1009_3,0.756019,0.756366
1018_3x1010_3,0.75322,0.761103
1018_3x1011_3,0.741566,0.743803
1018_3x1012_3,0.742126,0.751582
1018_3x1013_3,0.741359,0.742747
1018_3x1014_3,0.744774,0.745783
1018_3x1015_3,0.729313,0.741014
1018_3x1017_3,0.741196,0.744267
1018_3x1036_3,0.703723,0.732348
1019_3x1000_3,0.707724,0.733228
1019_3x1001_3,0.685729,0.717987
1019_3x1002_3,0.62412,0.672356
1019_3x1006_3,0.705143,0.724806
1019_3x1007_3,0.690379,0.725713
1019_3x1008_3,0.713783,0.731893
1019_3x1009_3,0.687685,0.724029
1019_3x1010_3,0.676354,0.71804
1019_3x1011_3,0.702546,0.725797
1019_3x1012_3,0.704271,0.72986
1019_3x1013_3,0.68914,0.720792
1019_3x1014_3,0.683513,0.718537
1019_3x1015_3,0.706687,0.732116
1019_3x1017_3,0.694571,0.72476
1019_3x1036_3,0.695283,0.735654
1023_3x1000_3,0.696467,0.723262
1023_3x1001_3,0.718712,0.730266
1023_3x1002_3,0.657932,0.658583
1023_3x1006_3,0.713541,0.716613
1023_3x1007_3,0.735652,0.737166
1023_3x1008_3,0.730032,0.734876
1023_3x1009_3,0.710463,0.719655
1023_3x1010_3,0.722149,0.728961
1023_3x1011_3,0.714787,0.725144
1023_3x1012_3,0.728774,0.730645
1023_3x1013_3,0.722039,0.725715
1023_3x1014_3,0.710338,0.713002
1023_3x1015_3,0.722952,0.728106
1023_3x1017_3,0.718547,0.7246
1023_3x1036_3,0.691282,0.711496
1024_3x1000_3,0.737593,0.734382
1024_3x1001_3,0.72407,0.733886
1024_3x1002_3,0.704989,0.718172
1024_3x1006_3,0.724443,0.727371
1024_3x1007_3,0.737703,0.737064
1024_3x1008_3,0.722472,0.731036
1024_3x1009_3,0.739966,0.746287
1024_3x1010_3,0.736109,0.74572
1024_3x1011_3,0.715532,0.721785
1024_3x1012_3,0.725173,0.730673
1024_3x1013_3,0.731821,0.735893
1024_3x1014_3,0.717066,0.723067
1024_3x1015_3,0.741106,0.741187
1024_3x1017_3,0.727979,0.728852
1024_3x1036_3,0.707163,0.717827
1025_3x1000_3,0.696397,0.706236
1025_3x1001_3,0.699417,0.710306
1025_3x1002_3,0.692453,0.70054
1025_3x1006_3,0.728575,0.723853
1025_3x1007_3,0.700597,0.710171
1025_3x1008_3,0.698784,0.704884
1025_3x1009_3,0.70132,0.702257
1025_3x1010_3,0.689608,0.695748
1025_3x1011_3,0.69467,0.720424
1025_3x1012_3,0.698085,0.706139
1025_3x1013_3,0.698563,0.70694
1025_3x1014_3,0.708085,0.709064
1025_3x1015_3,0.696616,0.702533
1025_3x1017_3,0.677806,0.68969
1025_3x1036_3,0.691423,0.702979
1038_3x1000_3,0.741647,0.746416
1038_3x1001_3,0.7462,0.741136
1038_3x1002_3,0.708524,0.716765
1038_3x1006_3,0.738919,0.741936
1038_3x1007_3,0.73901,0.746032
1038_3x1008_3,0.736691,0.739051
1038_3x1009_3,0.748782,0.7506
1038_3x1010_3,0.751728,0.75304
1038_3x1011_3,0.740504,0.746605
1038_3x1012_3,0.736428,0.749439
1038_3x1013_3,0.737865,0.742156
1038_3x1014_3,0.745985,0.748472
1038_3x1015_3,0.729358,0.7325
1038_3x1017_3,0.737358,0.740411
1038_3x1036_3,0.69964,0.734142
1039_3x1000_3,0.720441,0.725135
1039_3x1001_3,0.714625,0.719344
1039_3x1002_3,0.684628,0.689904
1039_3x1006_3,0.705808,0.720999
1039_3x1007_3,0.720188,0.721642
1039_3x1008_3,0.731598,0.734542
1039_3x1009_3,0.718331,0.722586
1039_3x1010_3,0.708944,0.71567
1039_3x1011_3,0.72027,0.726765
1039_3x1012_3,0.718337,0.722121
1039_3x1013_3,0.715608,0.721355
1039_3x1014_3,0.70923,0.719061
1039_3x1015_3,0.720183,0.726709
1039_3x1017_3,0.70253,0.72228
1039_3x1036_3,0.732081,0.733967
1101_3x1000_3,0.718823,0.728197
1101_3x1001_3,0.728175,0.733762
1101_3x1002_3,0.69795,0.712427
1101_3x1006_3,0.714906,0.724154
1101_3x1007_3,0.726531,0.736794
1101_3x1008_3,0.719037,0.727182
1101_3x1009_3,0.712353,0.714044
1101_3x1010_3,0.718916,0.727049
1101_3x1011_3,0.730537,0.741345
1101_3x1012_3,0.715186,0.731515
1101_3x1013_3,0.739465,0.745325
1101_3x1014_3,0.730582,0.739264
1101_3x1015_3,0.68622,0.693265
1101_3x1017_3,0.715072,0.717511
1101_3x1036_3,0.690961,0.711943
1104_3x1000_3,0.728722,0.731739
1104_3x1001_3,0.700637,0.714555
1104_3x1002_3,0.696055,0.707066
1104_3x1006_3,0.699106,0.72166
1104_3x1007_3,0.724094,0.729463
1104_3x1008_3,0.70882,0.709697
1104_3x1009_3,0.730205,0.733042
1104_3x1010_3,0.734909,0.742078
1104_3x1011_3,0.724046,0.730821
1104_3x1012_3,0.741914,0.742896
1104_3x1013_3,0.727273,0.729725
1104_3x1014_3,0.733596,0.734847
1104_3x1015_3,0.678451,0.703991
1104_3x1017_3,0.703138,0.70759
1104_3x1036_3,0.720474,0.7255
1107_3x1000_3,0.728442,0.735537
1107_3x1001_3,0.718487,0.725111
1107_3x1002_3,0.705119,0.710267
1107_3x1006_3,0.730761,0.731632
1107_3x1007_3,0.733306,0.737531
1107_3x1008_3,0.71386,0.715599
1107_3x1009_3,0.722126,0.729622
1107_3x1010_3,0.721169,0.728099
1107_3x1011_3,0.718685,0.729107
1107_3x1012_3,0.733847,0.740855
1107_3x1013_3,0.733175,0.736573
1107_3x1014_3,0.720411,0.723665
1107_3x1015_3,0.72878,0.736078
1107_3x1017_3,0.729068,0.73085
1107_3x1036_3,0.702659,0.711215
1110_3x1000_3,0.632444,0.660922
1110_3x1001_3,0.728604,0.734274
1110_3x1002_3,0.633291,0.656911
1110_3x1006_3,0.702535,0.717775
1110_3x1007_3,0.729129,0.737296
1110_3x1008_3,0.717456,0.719955
1110_3x1009_3,0.707583,0.714742
1110_3x1010_3,0.720648,0.728813
1110_3x1011_3,0.706482,0.713811
1110_3x1012_3,0.722898,0.729713
1110_3x1013_3,0.728983,0.733402
1110_3x1014_3,0.737304,0.741747
1110_3x1015_3,0.705224,0.714889
1110_3x1017_3,0.676925,0.703706
1110_3x1036_3,0.696378,0.713548
1113_3x1000_3,0.714366,0.720793
1113_3x1001_3,0.726598,0.724106
1113_3x1002_3,0.674352,0.699943
1113_3x1006_3,0.722538,0.734032
1113_3x1007_3,0.723877,0.725422
1113_3x1008_3,0.729561,0.733829
1113_3x1009_3,0.723723,0.726673
1113_3x1010_3,0.729737,0.731429
1113_3x1011_3,0.726656,0.732111
1113_3x1012_3,0.721895,0.730784
1113_3x1013_3,0.737128,0.737501
1113_3x1014_3,0.739594,0.740306
1113_3x1015_3,0.712292,0.715254
1113_3x1017_3,0.714546,0.721646
1113_3x1036_3,0.69744,0.715119
1116_3x1000_3,0.721062,0.7257
1116_3x1001_3,0.675247,0.699977
1116_3x1002_3,0.694215,0.699323
1116_3x1006_3,0.704997,0.718855
1116_3x1007_3,0.67581,0.691295
1116_3x1008_3,0.697879,0.703269
1116_3x1009_3,0.703341,0.711005
1116_3x1010_3,0.722296,0.729212
1116_3x1011_3,0.709218,0.71848
1116_3x1012_3,0.701773,0.716091
1116_3x1013_3,0.716301,0.727137
1116_3x1014_3,0.710035,0.715139
1116_3x1015_3,0.687048,0.699416
1116_3x1017_3,0.704604,0.712468
1116_3x1036_3,0.71095,0.719306
1119_3x1000_3,0.680694,0.688796
1119_3x1001_3,0.685386,0.694134
1119_3x1002_3,0.659206,0.675796
1119_3x1006_3,0.711363,0.715349
1119_3x1007_3,0.692312,0.699117
1119_3x1008_3,0.704745,0.711385
1119_3x1009_3,0.691009,0.695967
1119_3x1010_3,0.681518,0.681527
1119_3x1011_3,0.687959,0.701281
1119_3x1012_3,0.697519,0.703303
1119_3x1013_3,0.69922,0.706789
1119_3x1014_3,0.703136,0.708262
1119_3x1015_3,0.702815,0.708975
1119_3x1017_3,0.667413,0.680779
1119_3x1036_3,0.699156,0.71039
1122_3x1000_3,0.737439,0.739975
1122_3x1001_3,0.710703,0.724535
1122_3x1002_3,0.731002,0.731167
1122_3x1006_3,0.729727,0.741932
1122_3x1007_3,0.719916,0.726263
1122_3x1008_3,0.713465,0.717548
1122_3x1009_3,0.713387,0.718871
1122_3x1010_3,0.719569,0.728456
1122_3x1011_3,0.724893,0.734456
1122_3x1012_3,0.709557,0.716927
1122_3x1013_3,0.726607,0.741131
1122_3x1014_3,0.722527,0.724319
1122_3x1015_3,0.706476,0.720544
1122_3x1017_3,0.715166,0.720346
1122_3x1036_3,0.71717,0.729174
1125_3x1000_3,0.690526,0.700643
1125_3x1001_3,0.703841,0.711079
1125_3x1002_3,0.707448,0.720964
1125_3x1006_3,0.704172,0.708263
1125_3x1007_3,0.706546,0.718122
1125_3x1008_3,0.718162,0.72613
1125_3x1009_3,0.70057,0.705779
1125_3x1010_3,0.710951,0.724089
1125_3x1011_3,0.714987,0.717907
1125_3x1012_3,0.69913,0.705133
1125_3x1013_3,0.713831,0.716269
1125_3x1014_3,0.700389,0.705194
1125_3x1015_3,0.705773,0.719526
1125_3x1017_3,0.697623,0.701804
1125_3x1036_3,0.707201,0.718989
1128_3x1000_3,0.699143,0.707459
1128_3x1001_3,0.681571,0.682645
1128_3x1002_3,0.682301,0.683909
1128_3x1006_3,0.683758,0.698796
1128_3x1007_3,0.688295,0.689888
1128_3x1008_3,0.680848,0.685824
1128_3x1009_3,0.689551,0.695189
1128_3x1010_3,0.701727,0.706404
1128_3x1011_3,0.678527,0.690563
1128_3x1012_3,0.669799,0.680292
1128_3x1013_3,0.697041,0.701483
1128_3x1014_3,0.692218,0.695798
1128_3x1015_3,0.690626,0.698072
1128_3x1017_3,0.665143,0.669133
1128_3x1036_3,0.662039,0.673541
